PhraseId,Sentiment
156061,2.30059
156062,2.30059
156063,2
156064,2.30059
156065,2.32887
156066,2.90456
156067,2.90456
156068,2.63265
156069,3.17647
156070,2
156071,1.75317
156072,2.09524
156073,1.41111
156074,2.1875
156075,2
156076,2.07899
156077,3.25
156078,2.03215
156079,2.03215
156080,1.87995
156081,2
156082,1.87995
156083,2.03849
156084,1.56233
156085,2
156086,1.56233
156087,2
156088,1.56233
156089,2.0592
156090,2
156091,2.0592
156092,2.03387
156093,1.90157
156094,2.31895
156095,2.05437
156096,2.58352
156097,1.82568
156098,2.08531
156099,1.75252
156100,2.19625
156101,2
156102,2.19625
156103,2.19261
156104,2.19261
156105,2.13043
156106,2.25478
156107,2
156108,2.20353
156109,2
156110,2.20353
156111,1.67732
156112,2
156113,1.67732
156114,1.59067
156115,1.65152
156116,1.65152
156117,2
156118,1.47727
156119,1.5
156120,1.45455
156121,1.52983
156122,2.04641
156123,1.27154
156124,0.5
156125,2.04309
156126,2.19718
156127,2.19718
156128,2.27957
156129,2
156130,2.27957
156131,2.22177
156132,2.28921
156133,2.1873
156134,1.8132
156135,2.5614
156136,2.34016
156137,2
156138,2.34016
156139,2.33757
156140,2.33757
156141,1.92513
156142,2.75
156143,2.34275
156144,2.34275
156145,2.28378
156146,2.40171
156147,2.22805
156148,2.22805
156149,2.22805
156150,2
156151,2.34207
156152,2.26437
156153,2.41977
156154,2.02287
156155,1.96641
156156,2.28613
156157,1.80656
156158,2
156159,1.80656
156160,1.75265
156161,1.86047
156162,2
156163,1.86047
156164,2
156165,1.86047
156166,2.06522
156167,2
156168,2.06522
156169,1.88564
156170,1.88564
156171,2.12508
156172,2.12508
156173,1.42745
156174,2.47389
156175,2.47389
156176,2.45
156177,2.49778
156178,2.00217
156179,2
156180,2.00217
156181,2.00217
156182,1.6
156183,2.03873
156184,1
156185,2.1426
156186,2.15051
156187,2.15051
156188,2.15051
156189,2
156190,2.15051
156191,2.28318
156192,2.34954
156193,2.34954
156194,2.25
156195,2
156196,2.25
156197,2.25
156198,2.5
156199,2
156200,2
156201,2.13732
156202,2
156203,2.13732
156204,2
156205,2.13732
156206,3.3125
156207,1.90229
156208,1.50916
156209,2.00057
156210,2.00057
156211,2.0033
156212,2.00659
156213,2
156214,2
156215,2
156216,1.99784
156217,1.99568
156218,2
156219,2.47022
156220,3
156221,2.41135
156222,2.41135
156223,2.18177
156224,2.18177
156225,2.18177
156226,2
156227,2
156228,2
156229,2.18177
156230,2.12903
156231,2.20814
156232,2
156233,2.20814
156234,2.32104
156235,2.09524
156236,2.52614
156237,1.84026
156238,2.66332
156239,2.74627
156240,2.64258
156241,2.7494
156242,2.7494
156243,2.60697
156244,2.60697
156245,2.94949
156246,2.43571
156247,2.7
156248,2.7
156249,2.17143
156250,2.07767
156251,2.07767
156252,1.95758
156253,1.95758
156254,1.95758
156255,1.94125
156256,1.99137
156257,1.99137
156258,1.56627
156259,2.41647
156260,1.841
156261,1.841
156262,2.19776
156263,2.26368
156264,2.26368
156265,2
156266,2.39552
156267,2.4102
156268,2.38084
156269,2
156270,2
156271,2
156272,2.07921
156273,2
156274,2.07921
156275,2.07921
156276,2.14314
156277,2.15793
156278,1.96777
156279,1.96777
156280,1.96777
156281,2.21739
156282,2.21739
156283,2.21739
156284,1.71815
156285,1.71815
156286,2.25302
156287,2.35239
156288,2.35239
156289,2.74938
156290,1.9554
156291,2.15364
156292,2.15364
156293,2.15364
156294,2.22833
156295,2.07895
156296,2.03852
156297,2
156298,2.03852
156299,2.12784
156300,2.02959
156301,2.02959
156302,3
156303,3
156304,1.92177
156305,1.92177
156306,1.77086
156307,1.94063
156308,1.83144
156309,1.95623
156310,2
156311,1.95623
156312,1.92945
156313,1.80453
156314,1.96694
156315,2.13913
156316,1.92389
156317,1.92389
156318,1.69556
156319,2
156320,2
156321,2
156322,2
156323,2
156324,2.22869
156325,2.22679
156326,1.21429
156327,1.21429
156328,2.33929
156329,2.33929
156330,2.432
156331,2.432
156332,2.432
156333,2.32771
156334,2.16099
156335,2.16099
156336,2.16099
156337,2.38889
156338,2.38889
156339,2.77778
156340,2
156341,1.93309
156342,1.93309
156343,1.93309
156344,1.85965
156345,2.00654
156346,2.49442
156347,2.57143
156348,2.57143
156349,2.46875
156350,2.625
156351,2.39062
156352,2.39062
156353,2.39062
156354,2.09375
156355,2.6875
156356,2.23502
156357,2.23502
156358,2.26102
156359,1.95062
156360,2.57143
156361,2.18302
156362,1.85003
156363,2.20353
156364,1.83236
156365,1.83236
156366,1.30769
156367,1.85997
156368,1.83386
156369,1.91825
156370,1.91825
156371,1.81361
156372,1.81361
156373,1.52171
156374,1.95956
156375,2.4734
156376,1.44571
156377,2.02289
156378,2.27348
156379,2.07357
156380,1.58068
156381,1.13636
156382,2.025
156383,2.025
156384,1.87896
156385,1.88371
156386,1.86164
156387,1.68103
156388,1.30769
156389,1.95194
156390,1.93103
156391,1.9589
156392,1.87671
156393,2
156394,2
156395,2
156396,1.91683
156397,2.03704
156398,1.87677
156399,2.38462
156400,1.62284
156401,1.95536
156402,1.95536
156403,1.29032
156404,1.29032
156405,2.35363
156406,2.35363
156407,2.42457
156408,2.42457
156409,3.01639
156410,2.32593
156411,2.32593
156412,2.31765
156413,1.94372
156414,1.94372
156415,2.24228
156416,1.64516
156417,2.69158
156418,2.60943
156419,2.77372
156420,2.34251
156421,2.48148
156422,2.18809
156423,2.18809
156424,2.28213
156425,2.28213
156426,2.33238
156427,2.23188
156428,2
156429,2
156430,2
156431,1.93792
156432,1.93792
156433,1.93792
156434,1.76382
156435,1.76382
156436,1.80952
156437,1.75239
156438,1.94335
156439,1.94335
156440,2
156441,1.8867
156442,1.56143
156443,1.56143
156444,1.64286
156445,1.48
156446,1.99596
156447,2
156448,1.99596
156449,2.05592
156450,2.05592
156451,1.99167
156452,1.99167
156453,0.4
156454,2.11411
156455,2.11411
156456,2.11411
156457,1.82927
156458,1.82927
156459,2.11552
156460,1.73386
156461,1.73386
156462,1.73386
156463,1.77936
156464,1.4375
156465,2.12121
156466,2.2407
156467,2.2407
156468,2.35051
156469,2.35051
156470,2.26735
156471,2.85965
156472,2.85965
156473,1.9712
156474,1.87097
156475,2.07143
156476,2.6
156477,2.15285
156478,2.15285
156479,2.15385
156480,2
156481,2.30769
156482,2.15219
156483,2.34286
156484,2.28571
156485,2.28571
156486,2.4
156487,1.93201
156488,1.91117
156489,1.91117
156490,2
156491,1.89341
156492,2.42857
156493,1.75962
156494,1.75962
156495,2
156496,2
156497,2
156498,2
156499,2
156500,2
156501,1.51923
156502,2
156503,1.03846
156504,1.03846
156505,1.94338
156506,1.94338
156507,1.94338
156508,1.94338
156509,2
156510,1.93772
156511,1.93772
156512,1.98649
156513,1.98649
156514,1.98649
156515,2.00873
156516,1.97908
156517,2
156518,1.96863
156519,1.50329
156520,2.43396
156521,2
156522,1.9052
156523,1.875
156524,2
156525,1.75
156526,1.92031
156527,2
156528,1.92031
156529,1.92031
156530,1.90909
156531,1.92404
156532,1.92404
156533,1.91584
156534,1.85714
156535,1.97455
156536,1.94044
156537,1.96275
156538,1.69043
156539,1.69043
156540,1.53235
156541,1.53235
156542,0.764706
156543,2.3
156544,2.06486
156545,2.06486
156546,2.14088
156547,2.18384
156548,2.42222
156549,1.94545
156550,2.09792
156551,2.09792
156552,2.09792
156553,2.14583
156554,2.05
156555,1.98885
156556,1.98885
156557,2
156558,2
156559,2
156560,1.98513
156561,1.98513
156562,2
156563,2
156564,2
156565,1.9777
156566,2
156567,1.93126
156568,1.93126
156569,1.93126
156570,1.65229
156571,1.96226
156572,2
156573,1.96226
156574,1.77326
156575,1.98589
156576,1.98589
156577,1.71569
156578,2.02449
156579,2.02449
156580,2.07757
156581,2.07757
156582,2.2695
156583,2.00325
156584,2.00325
156585,2
156586,2.00325
156587,1.78261
156588,2.05842
156589,2.05842
156590,2.15347
156591,2.15347
156592,1.92857
156593,2.26592
156594,2.26592
156595,1.86579
156596,2.66604
156597,1.96716
156598,1.95074
156599,1.95074
156600,2.08005
156601,2.08005
156602,1.82143
156603,2
156604,2
156605,2
156606,2
156607,2.01719
156608,2.44643
156609,2.89286
156610,2.89286
156611,2
156612,1.87411
156613,1.87411
156614,2.21316
156615,1.8063
156616,1.8063
156617,2.10132
156618,2.10132
156619,1.73255
156620,1.73255
156621,1.59347
156622,1.59347
156623,1.91667
156624,1.27027
156625,1.87162
156626,1.82979
156627,1.91346
156628,1.65501
156629,1.65501
156630,1.59735
156631,1.59735
156632,1.63909
156633,1.63909
156634,1.58343
156635,1.58343
156636,1.44282
156637,1.13869
156638,1.74695
156639,1.86466
156640,1.902
156641,2.15728
156642,2.23127
156643,2.12895
156644,2.12895
156645,2.4359
156646,2.0463
156647,2.0463
156648,1.75926
156649,2.33333
156650,1.77436
156651,1.77436
156652,1.77436
156653,1.69556
156654,1.78312
156655,1.78312
156656,1.78312
156657,2.00288
156658,2
156659,2
156660,2
156661,2.00577
156662,2.00577
156663,2.00577
156664,2
156665,2.01153
156666,1.6073
156667,1.6073
156668,1.6073
156669,1.75463
156670,1.75463
156671,1.75
156672,2
156673,1.50909
156674,1.50909
156675,1.61498
156676,0.99187
156677,2.2381
156678,2
156679,2.2381
156680,2.2381
156681,2
156682,2.2381
156683,1.2973
156684,1.88686
156685,1.88686
156686,1.90675
156687,1.90675
156688,1.84921
156689,1.49479
156690,1.49479
156691,0.989583
156692,2
156693,1.93782
156694,1.93782
156695,1.90813
156696,1.94206
156697,2.08275
156698,2.08275
156699,2
156700,2
156701,1.91861
156702,2
156703,1.91861
156704,1.76132
156705,1.76132
156706,1.95007
156707,1.84
156708,1.97759
156709,1.97759
156710,1.97759
156711,2
156712,1.97012
156713,1.89939
156714,2.00548
156715,2
156716,2.01096
156717,2.05058
156718,1.89441
156719,2.10264
156720,2.11765
156721,2.09513
156722,2.18367
156723,1.86366
156724,1.67533
156725,1.9635
156726,1.53125
156727,1.5625
156728,1.5
156729,1.92644
156730,1.92644
156731,1.98563
156732,1.98563
156733,2
156734,1.98204
156735,1.98204
156736,2
156737,1.97605
156738,1.97605
156739,2
156740,1.96408
156741,1.75
156742,2.17816
156743,1.85244
156744,2
156745,1.85244
156746,1.61659
156747,1.62185
156748,1.62185
156749,1.52941
156750,1.71429
156751,1.60606
156752,1.60606
156753,2.56
156754,2.14482
156755,2.14482
156756,2.14482
156757,2.18316
156758,2.01878
156759,2.08096
156760,2.08096
156761,1.74603
156762,2.41589
156763,2.41589
156764,2.25362
156765,2.25362
156766,2.51724
156767,2.20968
156768,2.15948
156769,2.12895
156770,2.19
156771,2
156772,2.38
156773,2.31008
156774,2.31008
156775,2.12979
156776,2.12979
156777,2.49038
156778,2.21181
156779,1.97872
156780,2.22974
156781,2.22974
156782,2.22974
156783,2.22974
156784,1.28351
156785,2.30859
156786,2.86364
156787,2.86364
156788,2.25813
156789,2.37804
156790,2.37804
156791,2.7482
156792,2.00787
156793,2.23149
156794,2.33704
156795,2.21829
156796,2.28571
156797,2.20866
156798,2.37157
156799,2.35661
156800,2.35661
156801,2.26052
156802,2.46667
156803,2.54878
156804,2.41647
156805,2.41647
156806,1.99145
156807,1.99145
156808,1.67742
156809,2.14846
156810,2.2381
156811,2.05882
